,occ,0,1,emp_2018,wage,sqrt_emp
542,"Recreation and fitness studies teachers, postsecondary",-21.13547,-2.0890608,19.1,64380.0,4.370354676682432
543,Recreation workers,-15.701083,0.6813836,417.1,26350.0,20.423026220420912
544,Recreational therapists,-13.945536,-7.247912,19.9,48220.0,4.460941604639093
545,Recreational vehicle service technicians,12.270083,8.634905,15.9,38570.0,3.987480407475377
546,"Refractory materials repairers, except brickmasons",27.289204,12.6595955,0.8,53990.0,0.8944271909999159
547,Refuse and recyclable material collectors,26.521118,-1.2331161,133.6,37840.0,11.55854662143991
548,Registered nurses,-14.47817,5.15599,3096.7,73300.0,55.648000862564686
549,Rehabilitation counselors,-10.29098,-13.170791,120.2,35950.0,10.963576058932597
550,Reinforcing iron and rebar workers,19.105947,12.072416,18.8,49100.0,4.33589667773576
551,Reservation and transportation ticket agents and travel clerks,-0.84414935,2.7879674,126.3,38380.0,11.23832727766904
552,Residential advisors,-13.693038,-3.9406955,115.2,29450.0,10.73312629199899
553,Respiratory therapists,-5.1546645,8.5614,135.8,61330.0,11.653325705565772
554,Retail salespersons,15.672357,-11.066435,4371.4,25250.0,66.11656373405987
555,Riggers,30.281675,-0.68968546,23.5,50860.0,4.847679857416329
556,"Rock splitters, quarry",31.936483,-0.015248938,5.1,36070.0,2.258317958127243
557,"Rolling machine setters, operators, and tenders, metal and plastic",7.2313433,20.043848,32.6,40490.0,5.709640969448079
558,Roofers,10.657116,14.738828,161.6,42100.0,12.712198865656562
559,"Rotary drill operators, oil and gas",-3.8971012,19.930996,20.9,54980.0,4.571651780264984
560,"Roustabouts, oil and gas",23.524128,13.237384,58.5,38910.0,7.648529270389178
561,Sailors and marine oilers,13.862792,21.259142,31.9,43480.0,5.648008498577175
562,Sales engineers,-29.866568,-5.6220884,64.5,103900.0,8.031189202104505
563,Sales managers,-22.78351,-5.6406493,433.8,126640.0,20.827865949251738
564,"Sales representatives, wholesale and manufacturing, except technical and scientific products",-3.4113321,-12.139988,1399.7,59930.0,37.412564734324214
565,"Sales representatives, wholesale and manufacturing, technical and scientific products",-2.4575818,-12.595105,321.0,81020.0,17.916472867168917
566,"Sawing machine setters, operators, and tenders, wood",31.405712,-1.38407,54.5,30410.0,7.3824115301167
567,"Secondary school teachers, except special and career/technical education",-15.163723,-10.419334,1050.8,61660.0,32.41604540964243
568,"Secretaries and administrative assistants, except legal, medical, and executive",6.848522,-15.209203,2250.2,37690.0,47.43627304078599
569,"Securities, commodities, and financial services sales agents",-3.765008,-16.539558,464.2,62270.0,21.54530111184339
570,Security and fire alarm systems installers,11.729493,5.9460907,76.3,48970.0,8.734987120768983
571,Security guards,-5.1552353,0.359426,1154.1,29680.0,33.97204733306487
572,Self-enrichment teachers,-12.589998,-12.077726,386.2,39190.0,19.651971911235776
573,Semiconductor processing technicians,23.180584,10.572206,30.8,38060.0,5.549774770204643
574,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",27.204163,5.519965,53.1,41330.0,7.286974680894672
575,Septic tank servicers and sewer pipe cleaners,23.323212,-3.8585234,30.7,39870.0,5.540758070878027
576,"Service unit operators, oil and gas",-6.553685,18.959719,51.7,46740.0,7.19027120489902
577,Set and exhibit designers,-27.47897,6.024076,15.2,54600.0,3.8987177379235853
578,"Sewers, hand",16.27675,2.874956,7.5,29950.0,2.7386127875258306
579,Sewing machine operators,30.071306,-4.1479325,146.5,26420.0,12.103718436910205
580,Shampooers,16.993362,-10.345506,16.8,22550.0,4.09878030638384
581,Sheet metal workers,15.457896,14.615259,137.7,50400.0,11.734564329364767
582,Ship engineers,8.260729,23.612112,8.7,74610.0,2.949576240750525
583,"Shipping, receiving, and inventory clerks",16.19389,6.6900115,710.4,34190.0,26.65332999833229
584,Shoe and leather workers and repairers,26.74185,-10.167974,10.8,29560.0,3.286335345030997
585,Shoe machine operators and tenders,33.13246,0.83236265,5.3,30570.0,2.3021728866442674
586,Signal and track switch repairers,8.980422,24.37765,6.6,73890.0,2.569046515733026
587,Skincare specialists,14.595874,-10.594174,78.6,34090.0,8.8656641037206
588,Slaughterers and meat packers,30.575191,-5.9535403,75.0,29230.0,8.660254037844387
589,Social and community service managers,-15.930964,-13.493325,175.5,67150.0,13.24764129949177
590,Social and human service assistants,-10.530416,-10.491613,425.6,35060.0,20.630075133164205
591,Social science research assistants,-4.209681,-15.831387,40.1,47510.0,6.332456079595025
592,"Social scientists and related workers, all other",-28.654337,-6.788056,38.8,83330.0,6.2289646009589745
